Date,Open,High,Low,Close,Adj Close,Volume
2002-05-15,80.879539,82.686424,80.353729,80.783936,46.063034,8945706
2002-05-16,80.497131,82.217972,79.732315,81.692162,46.580894,7079642
2002-05-17,82.456978,82.600380,81.261948,81.921608,46.711720,6145041
2002-05-20,81.692162,81.701721,80.239006,80.736137,46.035770,4738694
2002-05-21,80.697899,81.261948,79.636711,79.780113,45.490627,4658884
2002-05-22,80.076485,80.678780,79.101341,80.305923,45.790466,5272572
2002-05-23,80.544930,81.309753,78.891014,80.640533,45.981266,7181418
2002-05-24,79.971321,80.066925,78.986618,79.445503,45.299854,4311612
2002-05-28,79.158699,79.455070,78.097511,78.470360,44.743813,4761497
2002-05-29,77.915871,78.393883,77.437859,78.011475,44.482155,4727397
2002-05-30,77.055450,78.632889,76.692162,78.632889,44.836502,7713309
2002-05-31,78.441681,78.441681,76.864243,76.912048,43.855282,5362005
2002-06-03,77.198853,77.351814,74.569794,74.674950,42.579681,8769246
2002-06-04,74.674950,76.147224,74.187378,75.822182,43.233852,7607767
2002-06-05,76.147224,77.160614,75.630974,77.007645,43.909786,7502017
2002-06-06,77.007645,77.390060,75.420647,76.156792,43.424625,5795468
2002-06-07,75.028679,75.382408,73.613770,74.856598,42.683247,9737632
2002-06-10,74.330788,75.334610,73.231361,73.422562,41.865578,7401287
2002-06-11,74.426384,74.808792,71.892921,72.170174,41.151470,8319256
2002-06-12,72.084129,72.609940,70.028679,71.367111,40.693542,13907721
2002-06-13,72.131927,73.996178,71.988525,72.275337,41.211414,9319442
2002-06-14,70.936905,73.393883,70.028679,72.820267,41.522137,8987232
2002-06-17,72.829826,74.330788,71.854683,73.747612,42.050907,8133487
2002-06-18,72.275337,73.518166,72.151054,72.600380,41.396759,7575132
2002-06-19,70.936905,71.892921,70.028679,70.124283,39.984882,9890348
2002-06-20,70.745697,70.831741,68.288719,68.432121,39.020023,11628277
2002-06-21,66.921608,67.868073,65.191208,65.726578,37.477329,16257560
2002-06-24,64.292542,68.346077,64.292542,66.634796,37.995167,15363334
2002-06-25,67.208412,68.307838,65.401527,65.583176,37.395561,8948321
2002-06-26,63.193115,67.485657,63.193115,66.969406,38.185982,12075024
2002-06-27,68.068832,68.977058,66.061188,68.738052,39.194466,11098165
2002-06-28,68.212234,70.382408,68.116638,68.833649,39.248981,11449098
2002-07-01,68.843208,69.225624,64.206497,64.627151,36.850403,12610471
2002-07-02,64.866158,66.347992,64.722755,65.564056,37.384644,12565493
2002-07-03,64.961761,67.600380,64.885277,67.409180,38.436741,8859515
2002-07-05,69.263863,70.650093,68.833649,70.267685,40.066666,5484178
2002-07-08,69.789673,70.248566,67.906311,68.164436,38.867378,9924553
2002-07-09,68.260040,69.072655,66.395790,66.606117,37.978844,11679218
2002-07-10,67.495216,68.116638,65.516251,65.736137,37.482765,10536776
2002-07-11,65.009560,66.682602,64.579353,66.357552,37.837090,11533614
2002-07-12,66.921608,68.585083,65.774376,66.166351,37.728077,8966521
2002-07-15,65.391968,67.877632,63.671127,67.877632,38.703850,10900261
2002-07-16,66.453156,68.250481,65.468452,65.975143,37.619049,10969193
2002-07-17,67.877632,68.451241,66.558319,67.581261,38.534882,12068016
2002-07-18,67.399620,70.936905,66.921608,68.881454,39.276234,16015097
2002-07-19,67.839386,69.502869,66.921608,68.833649,39.248981,12147093
2002-07-22,68.116638,69.015297,65.305923,65.487572,37.341042,15550777
2002-07-23,65.248566,66.921608,63.728489,64.101341,36.550606,13353968
2002-07-24,63.097515,66.921608,62.810707,66.481834,37.907970,14439507
2002-07-25,65.869980,66.921608,64.340347,66.300194,37.804375,11495331
2002-07-26,65.726578,66.414917,62.868069,63.479923,36.196270,12108914
2002-07-29,67.275337,68.260040,65.009560,68.049713,38.801968,12467588
2002-07-30,67.399620,69.502869,66.940727,68.632889,39.134506,10604976
2002-07-31,67.638626,68.451241,66.070747,67.304016,38.376747,13303656
2002-08-01,67.304016,67.590820,64.263863,65.248566,37.204769,9238272
2002-08-02,65.210327,65.229446,64.168259,64.894836,37.003059,7233090
2002-08-05,64.952202,65.344170,62.954109,63.087955,35.972778,7454737
2002-08-06,64.053535,66.367111,63.680687,64.913956,37.013954,8755857
2002-08-07,65.965584,66.826004,63.862331,66.128105,37.789753,8407016
2002-08-08,66.156792,68.881454,65.344170,68.460800,39.122799,8807843
2002-08-09,67.504784,71.032501,67.304016,68.671127,39.242992,7260181
2002-08-12,67.925430,69.445503,67.504784,68.613770,39.210209,5505412
2002-08-13,68.403442,70.554497,68.059273,68.738052,39.281223,8383376
2002-08-14,68.785851,71.720840,68.212234,71.625237,40.931164,8737238
2002-08-15,72.084129,73.336517,71.319313,73.135757,41.794369,9693596
2002-08-16,73.135757,76.462715,72.638626,75.860420,43.351402,12181507
2002-08-19,75.860420,79.206497,75.535370,78.862335,45.066872,11300879
2002-08-20,77.973228,78.393883,76.653923,77.695984,44.400375,8023866
2002-08-21,78.298279,78.709366,76.051628,77.437859,44.252850,8125956
2002-08-22,77.390060,78.824089,76.673042,78.384323,44.793716,5697144
2002-08-23,77.629066,77.896751,75.860420,76.864243,43.925045,6180709
